POSTCODE,POSTCODE,SA2_MAINCODE_2011,SA2_NAME_2011
2038,2038,120021388,Leichhardt - Annandale
2038,2038,120021389,Lilyfield - Rozelle
2039,2039,120021387,Balmain
2039,2039,120021389,Lilyfield - Rozelle
2040,2040,120021388,Leichhardt - Annandale
2040,2040,120021389,Lilyfield - Rozelle
2041,2041,120021387,Balmain
2042,2042,117021326,Marrickville
2042,2042,117021327,Petersham - Stanmore
2042,2042,117031332,Newtown - Camperdown - Darlington
2043,2043,117031330,Erskineville - Alexandria
2043,2043,117031332,Newtown - Camperdown - Darlington
2044,2044,117021326,Marrickville
2044,2044,117021328,Sydenham - Tempe - St Peters
2044,2044,117031332,Newtown - Camperdown - Darlington
2045,2045,120021388,Leichhardt - Annandale
2045,2045,120031395,Haberfield - Summer Hill
2046,2046,120011385,Drummoyne - Rodd Point
2046,2046,120011386,Five Dock - Abbotsford
2047,2047,120011385,Drummoyne - Rodd Point
2048,2048,117021327,Petersham - Stanmore
2048,2048,120021388,Leichhardt - Annandale
2049,2049,117021326,Marrickville
2049,2049,117021327,Petersham - Stanmore
2049,2049,120031394,Dulwich Hill - Lewisham
2050,2050,117021327,Petersham - Stanmore
2050,2050,117031331,Glebe - Forest Lodge
2050,2050,117031332,Newtown - Camperdown - Darlington
2052,2052,118021349,Kensington - Kingsford
2060,2060,121041414,Crows Nest - Waverton
2060,2060,121041416,Neutral Bay - Kirribilli
2060,2060,121041417,North Sydney - Lavender Bay
2061,2061,121041416,Neutral Bay - Kirribilli
2061,2061,121041417,North Sydney - Lavender Bay
2062,2062,121011401,St Leonards - Naremburn
2062,2062,121041413,Cremorne - Cammeray
2062,2062,121041414,Crows Nest - Waverton
2062,2062,121041416,Neutral Bay - Kirribilli
2063,2063,121011402,Willoughby - Castle Cove - Northbridge
2064,2064,121011398,Chatswood (East) - Artarmon
2064,2064,121011401,St Leonards - Naremburn
2065,2065,121011400,Lane Cove - Greenwich
2065,2065,121011401,St Leonards - Naremburn
2065,2065,121041414,Crows Nest - Waverton
2065,2065,121041417,North Sydney - Lavender Bay
2066,2066,121011399,Chatswood (West) - Lane Cove North
2066,2066,121011400,Lane Cove - Greenwich
2067,2067,121011398,Chatswood (East) - Artarmon
2067,2067,121011399,Chatswood (West) - Lane Cove North
2067,2067,121011402,Willoughby - Castle Cove - Northbridge
2068,2068,121011398,Chatswood (East) - Artarmon
2068,2068,121011402,Willoughby - Castle Cove - Northbridge
2069,2069,121011398,Chatswood (East) - Artarmon
2069,2069,121011402,Willoughby - Castle Cove - Northbridge
2069,2069,121031408,Lindfield - Roseville
2070,2070,121031407,Gordon - Killara
2070,2070,121031408,Lindfield - Roseville
2071,2071,121031407,Gordon - Killara
2071,2071,121031408,Lindfield - Roseville
2072,2072,121031407,Gordon - Killara
2073,2073,121031409,Pymble
2073,2073,121031411,Turramurra
2074,2074,121031409,Pymble
2074,2074,121031411,Turramurra
2074,2074,121031412,Wahroonga - Warrawee
2075,2075,121031410,St Ives
2076,2076,121021405,Hornsby - Waitara
2076,2076,121021406,Normanhurst - Thornleigh - Westleigh
2076,2076,121031412,Wahroonga - Warrawee
2077,2077,121021403,Asquith - Mount Colah
2077,2077,121021405,Hornsby - Waitara
2079,2079,121021403,Asquith - Mount Colah
2080,2080,121021403,Asquith - Mount Colah
2081,2081,121021404,Berowra - Brooklyn - Cowan
2082,2082,115021298,Galston - Laughtondale
2082,2082,121021404,Berowra - Brooklyn - Cowan
2083,2083,102011030,Calga - Kulnura
2083,2083,121021404,Berowra - Brooklyn - Cowan
2084,2084,122021421,Bayview - Elanora Heights
2084,2084,122031432,Terrey Hills - Duffys Forest
2085,2085,122031428,Frenchs Forest - Belrose
2086,2086,122031427,Forestville - Killarney Heights
2086,2086,122031428,Frenchs Forest - Belrose
2086,2086,122031430,Manly Vale - Allambie Heights
2087,2087,122031427,Forestville - Killarney Heights
2087,2087,122031428,Frenchs Forest - Belrose
2088,2088,121041415,Mosman
2089,2089,121041413,Cremorne - Cammeray
2089,2089,121041416,Neutral Bay - Kirribilli
2090,2090,121041413,Cremorne - Cammeray
2090,2090,121041416,Neutral Bay - Kirribilli
2092,2092,122011418,Balgowlah - Clontarf - Seaforth
2093,2093,122011418,Balgowlah - Clontarf - Seaforth
2093,2093,122031430,Manly Vale - Allambie Heights
2094,2094,122011418,Balgowlah - Clontarf - Seaforth
2094,2094,122011419,Manly - Fairlight
2095,2095,122011419,Manly - Fairlight
2096,2096,122031429,Freshwater - Brookvale
2097,2097,122031431,Narrabeen - Collaroy
2099,2099,122031424,Beacon Hill - Narraweena
2099,2099,122031425,Cromer
2099,2099,122031426,Dee Why - North Curl Curl
2099,2099,122031431,Narrabeen - Collaroy
2100,2100,122031424,Beacon Hill - Narraweena
2100,2100,122031425,Cromer
2100,2100,122031426,Dee Why - North Curl Curl
2100,2100,122031428,Frenchs Forest - Belrose
2100,2100,122031429,Freshwater - Brookvale
2100,2100,122031430,Manly Vale - Allambie Heights
2101,2101,122021421,Bayview - Elanora Heights
2101,2101,122021423,Warriewood - Mona Vale
2101,2101,122031431,Narrabeen - Collaroy
2101,2101,122031432,Terrey Hills - Duffys Forest
2102,2102,122021423,Warriewood - Mona Vale
2103,2103,122021422,Newport - Bilgola
2103,2103,122021423,Warriewood - Mona Vale
2104,2104,122021421,Bayview - Elanora Heights
2105,2105,122021421,Bayview - Elanora Heights
2106,2106,122021422,Newport - Bilgola
2107,2107,122021420,Avalon - Palm Beach
2107,2107,122021422,Newport - Bilgola
2108,2108,122021420,Avalon - Palm Beach
2108,2108,122021421,Bayview - Elanora Heights
2109,2109,126021500,Macquarie Park - Marsfield
2110,2110,126021498,Gladesville - Huntleys Point
2110,2110,126021499,Hunters Hill - Woolwich
2111,2111,126021498,Gladesville - Huntleys Point
2111,2111,126021499,Hunters Hill - Woolwich
2112,2112,126021497,Eastwood - Denistone
2112,2112,126021500,Macquarie Park - Marsfield
2112,2112,126021502,Ryde - Putney
2113,2113,126021500,Macquarie Park - Marsfield
2113,2113,126021501,North Ryde - East Ryde
2113,2113,126021502,Ryde - Putney
2114,2114,125021477,Ermington - Rydalmere
2114,2114,126021497,Eastwood - Denistone
2114,2114,126021503,West Ryde - Meadowbank
2115,2115,125021477,Ermington - Rydalmere
2116,2116,125021477,Ermington - Rydalmere
2117,2117,125021476,Carlingford
2117,2117,125021477,Ermington - Rydalmere
2117,2117,125021478,Oatlands - Dundas Valley
2118,2118,125021476,Carlingford
2118,2118,125021478,Oatlands - Dundas Valley
2119,2119,125021476,Carlingford
2119,2119,126011496,Pennant Hills - Cheltenham
2120,2120,115011293,Cherrybrook
2120,2120,121021406,Normanhurst - Thornleigh - Westleigh
2120,2120,126011496,Pennant Hills - Cheltenham
2121,2121,125021476,Carlingford
2121,2121,126011495,Epping - North Epping
2121,2121,126021497,Eastwood - Denistone
2122,2122,125021476,Carlingford
2122,2122,126021497,Eastwood - Denistone
2122,2122,126021500,Macquarie Park - Marsfield
2123,2123,125041492,Parramatta - Rosehill
2125,2125,115011296,West Pennant Hills
2125,2125,126011496,Pennant Hills - Cheltenham
2126,2126,115011293,Cherrybrook
2127,2127,125011473,Homebush Bay - Silverwater
2128,2128,125011473,Homebush Bay - Silverwater
2129,2129,120031396,Homebush
2130,2130,120031390,Ashfield
2130,2130,120031394,Dulwich Hill - Lewisham
2130,2130,120031395,Haberfield - Summer Hill
2131,2131,120031390,Ashfield
2131,2131,120031393,Croydon Park - Enfield
2131,2131,120031395,Haberfield - Summer Hill
2132,2132,120031391,Burwood - Croydon
2132,2132,120031393,Croydon Park - Enfield
2133,2133,120031393,Croydon Park - Enfield
2133,2133,120031397,Strathfield
2134,2134,120031391,Burwood - Croydon
2135,2135,120011384,Concord West - North Strathfield
2135,2135,120031391,Burwood - Croydon
2135,2135,120031396,Homebush
2135,2135,120031397,Strathfield
2136,2136,119021362,Belmore - Belfield
2136,2136,120031393,Croydon Park - Enfield
2136,2136,120031397,Strathfield
2137,2137,120011383,Concord - Mortlake - Cabarita
2137,2137,120011384,Concord West - North Strathfield
2138,2138,120011384,Concord West - North Strathfield
2139,2139,120011384,Concord West - North Strathfield
2140,2140,120031396,Homebush
2140,2140,120031397,Strathfield
2141,2141,125011473,Homebush Bay - Silverwater
2141,2141,125011474,Lidcombe - Regents Park
2141,2141,125011475,Rookwood Cemetery
2142,2142,125031481,Granville - Clyde
2142,2142,125031483,Guildford - South Granville
2142,2142,125031485,Merrylands - Holroyd
2142,2142,125041492,Parramatta - Rosehill
2143,2143,119011361,Yagoona - Birrong
2143,2143,125011474,Lidcombe - Regents Park
2144,2144,125011472,Auburn
2144,2144,125011474,Lidcombe - Regents Park
2145,2145,125031482,Greystanes - Pemulwuy
2145,2145,125031485,Merrylands - Holroyd
2145,2145,125041488,Girraween - Westmead
2145,2145,125041491,Northmead
2145,2145,125041493,Toongabbie - Constitution Hill
2146,2146,116011308,Seven Hills - Toongabbie
2146,2146,125041488,Girraween - Westmead
2146,2146,125041493,Toongabbie - Constitution Hill
2147,2147,116011307,Lalor Park - Kings Langley
2147,2147,116011308,Seven Hills - Toongabbie
2148,2148,116011303,Blacktown (East) - Kings Park
2148,2148,116011304,Blacktown (North) - Marayong
2148,2148,116011305,Blacktown (South)
2148,2148,116011306,Doonside - Woodcroft
2148,2148,116011307,Lalor Park - Kings Langley
2148,2148,116011308,Seven Hills - Toongabbie
2148,2148,116031318,Prospect Reservoir
2150,2150,125021477,Ermington - Rydalmere
2150,2150,125031481,Granville - Clyde
